Dataname,Value,Time
voltage,122.99,2025-08-29 09:15:58.322983
filament_temp,18.2,2025-08-29 09:15:58.823224
bed_temp,16.4,2025-08-29 09:15:58.823224
current,0.07,2025-08-29 09:15:58.823224
power,2,2025-08-29 09:15:58.823224
voltage,122.99,2025-08-29 09:15:58.823224
filament_temp,18.2,2025-08-29 09:15:59.323474
bed_temp,16.4,2025-08-29 09:15:59.323474
current,0.07,2025-08-29 09:15:59.323474
power,2,2025-08-29 09:15:59.323474
voltage,122.99,2025-08-29 09:15:59.323474
filament_temp,18.2,2025-08-29 09:15:59.823664
bed_temp,16.4,2025-08-29 09:15:59.823664
current,0.07,2025-08-29 09:15:59.823664
power,2,2025-08-29 09:15:59.823664
voltage,122.99,2025-08-29 09:15:59.823664
filament_temp,18.2,2025-08-29 09:16:00.323853
bed_temp,16.4,2025-08-29 09:16:00.323853
current,0.07,2025-08-29 09:16:00.323853
power,2,2025-08-29 09:16:00.323853
voltage,122.99,2025-08-29 09:16:00.323853
filament_temp,18.2,2025-08-29 09:16:00.824078
bed_temp,16.4,2025-08-29 09:16:00.824078
current,0.07,2025-08-29 09:16:00.824078
power,2,2025-08-29 09:16:00.824078
voltage,122.99,2025-08-29 09:16:00.824078
filament_temp,18.2,2025-08-29 09:16:01.324311
bed_temp,16.4,2025-08-29 09:16:01.324311
current,0.07,2025-08-29 09:16:01.324311
power,2,2025-08-29 09:16:01.324311
voltage,122.99,2025-08-29 09:16:01.324311
filament_temp,18.2,2025-08-29 09:16:01.824570
bed_temp,16.4,2025-08-29 09:16:01.824570
current,0.07,2025-08-29 09:16:01.824570
power,2,2025-08-29 09:16:01.824570
voltage,122.99,2025-08-29 09:16:01.824570
filament_temp,18.2,2025-08-29 09:16:02.324788
bed_temp,16.4,2025-08-29 09:16:02.324788
current,0.07,2025-08-29 09:16:02.324788
power,2,2025-08-29 09:16:02.324788
voltage,122.99,2025-08-29 09:16:02.324788
filament_temp,18.3,2025-08-29 09:16:02.825021
bed_temp,17.1,2025-08-29 09:16:02.825021
current,0.07,2025-08-29 09:16:02.825021
power,2,2025-08-29 09:16:02.825021
voltage,122.99,2025-08-29 09:16:02.825021
filament_temp,18.3,2025-08-29 09:16:03.325252
bed_temp,17.1,2025-08-29 09:16:03.325252
current,0.07,2025-08-29 09:16:03.325252
power,2,2025-08-29 09:16:03.325252
voltage,122.99,2025-08-29 09:16:03.325252
filament_temp,18.3,2025-08-29 09:16:03.825482
bed_temp,17.1,2025-08-29 09:16:03.825482
current,0.07,2025-08-29 09:16:03.825482
power,2,2025-08-29 09:16:03.825482
voltage,122.99,2025-08-29 09:16:03.825482
filament_temp,18.3,2025-08-29 09:16:04.325730
bed_temp,17.1,2025-08-29 09:16:04.325730
current,0.07,2025-08-29 09:16:04.325730
power,2,2025-08-29 09:16:04.325730
voltage,122.99,2025-08-29 09:16:04.325730
filament_temp,18.3,2025-08-29 09:16:04.825963
bed_temp,17.1,2025-08-29 09:16:04.825963
current,0.07,2025-08-29 09:16:04.825963
power,2,2025-08-29 09:16:04.825963
